,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,62,47,25,86,89,78,81,86,37,26,73,62,33,96,94,13,51,89,66,68
1,32,19,61,54,6,82,4,37,99,37,51,49,95,86,44,66,37,94,37,61
2,9,2,90,62,35,25,37,50,85,24,40,94,51,45,76,66,37,78,58,76
3,89,72,88,30,94,79,42,89,31,54,46,37,33,46,69,66,26,36,43,41
4,30,70,12,94,96,48,99,40,25,14,56,60,49,95,66,9,72,2,0,64
5,58,72,39,62,92,80,54,81,50,9,95,84,22,6,33,92,35,97,10,7
6,34,2,76,98,36,62,69,31,96,2,70,66,3,32,91,13,11,3,16,53
7,58,66,80,91,86,70,87,89,54,18,91,61,57,15,20,38,40,7,59,94
8,76,25,23,20,66,43,8,37,34,93,51,90,41,20,58,33,18,17,93,29
9,99,74,12,33,91,43,26,91,64,77,82,57,36,53,43,70,79,69,57,39
10,6,12,26,59,20,69,7,48,78,24,90,1,40,5,96,71,78,73,0,67
11,51,29,20,2,95,76,75,2,29,8,15,27,57,80,6,51,58,47,11,8
12,21,37,99,18,49,24,32,15,68,18,66,57,96,81,38,94,17,47,21,96
13,63,27,96,30,5,30,76,62,40,70,18,15,63,63,72,30,12,64,99,85
14,65,46,7,77,39,74,19,34,3,10,33,80,0,8,88,85,59,28,45,56
15,88,82,81,9,47,75,98,84,40,61,95,10,92,25,57,94,28,67,65,48
16,74,62,58,17,29,40,42,56,53,7,86,10,90,74,13,67,50,40,72,76
17,74,40,64,46,88,1,66,17,96,12,6,45,97,35,10,43,78,30,74,9
18,5,33,78,65,7,22,43,95,14,39,52,75,97,60,87,18,3,54,32,92
19,8,16,50,21,22,61,77,16,12,90,88,33,1,58,9,38,93,78,55,41
20,18,52,24,88,84,3,60,41,85,51,43,73,3,50,95,96,8,1,44,34
21,60,1,16,29,12,34,95,70,10,98,72,33,3,10,60,59,9,51,93,46
22,51,91,36,92,79,75,68,85,40,96,97,31,29,26,68,56,67,60,73,95
23,24,42,40,14,42,70,60,4,64,92,61,0,42,22,90,8,82,78,20,45
24,99,39,93,77,14,91,93,53,31,68,39,16,96,60,54,95,79,35,60,50
25,92,16,66,88,55,62,52,9,2,15,88,28,24,64,3,86,82,16,51,13
26,65,13,56,2,94,12,84,53,10,49,40,39,93,25,86,62,66,2,50,40
27,5,85,65,92,51,72,78,13,90,71,45,24,26,62,32,72,23,44,8,45
28,37,76,59,48,6,9,26,46,36,36,71,32,64,43,4,95,17,35,96,67
29,6,79,92,70,46,30,29,6,85,61,63,5,93,83,2,76,36,19,41,71
30,75,1,93,12,30,74,17,7,17,71,33,99,35,59,10,41,23,2,67,18
31,75,62,96,45,65,7,98,10,89,6,96,60,32,25,74,39,73,23,32,58
32,35,76,86,37,7,18,42,52,10,92,60,48,25,97,3,27,39,72,94,92
33,16,46,14,60,1,24,25,80,21,57,70,74,71,21,40,17,7,89,45,66
34,35,54,45,50,5,20,12,1,69,19,5,29,16,67,71,91,53,72,33,14
35,25,98,71,80,90,14,40,46,42,37,87,23,40,92,76,33,44,7,83,91
36,93,5,87,3,53,78,53,79,77,4,85,86,88,17,22,52,71,21,39,44
37,35,84,84,7,49,25,6,5,70,23,11,57,72,51,84,41,42,13,20,1
38,90,38,10,79,12,89,6,32,86,54,73,1,46,91,50,5,34,82,89,10
39,72,52,57,0,47,92,4,97,23,14,31,17,73,69,41,56,47,58,78,68
40,52,1,59,87,68,7,64,27,68,94,73,85,57,78,25,19,50,55,27,17
41,84,88,88,7,8,74,69,31,82,26,67,90,39,35,84,43,5,48,52,19
42,89,18,70,90,29,51,57,12,83,51,12,71,93,88,77,78,27,0,31,47
43,37,22,1,98,79,5,46,53,10,45,9,16,51,45,82,78,64,86,66,94
44,7,37,1,22,50,64,82,33,51,96,26,41,25,60,63,69,74,83,95,79
45,23,65,98,68,21,9,20,57,63,8,54,83,87,97,11,46,11,10,27,56
46,28,75,0,36,22,1,7,14,87,46,57,81,53,48,44,24,37,47,38,19
47,78,59,44,96,31,90,0,60,3,31,21,75,53,5,24,72,38,13,68,95
48,29,13,0,26,91,54,12,56,94,32,28,24,57,52,80,65,58,46,44,0
49,98,56,45,28,95,37,95,80,10,43,57,35,63,87,52,95,41,91,60,92
50,66,64,94,32,28,82,59,19,24,38,64,22,35,55,46,54,9,72,72,20
51,44,62,36,85,16,5,5,33,11,14,6,16,9,51,66,88,64,95,14,72
52,68,13,2,38,3,83,42,1,19,60,10,8,47,45,50,42,10,5,54,76
53,47,30,1,74,27,71,92,86,8,56,39,97,16,33,69,86,85,59,64,34
54,22,82,5,30,90,90,53,3,97,90,73,6,71,34,92,73,4,99,22,28
55,97,49,60,8,20,87,36,40,75,78,11,62,20,8,44,73,91,68,31,37
56,92,92,60,8,68,49,12,83,91,60,43,57,37,33,21,81,67,62,47,75
57,24,59,32,99,99,25,50,17,42,99,43,28,2,72,2,10,52,90,81,71
58,35,38,60,10,44,13,65,74,49,41,6,71,9,24,83,47,11,35,64,22
59,44,12,14,61,87,22,1,55,97,45,95,35,81,22,28,57,81,51,55,32
60,2,61,51,60,24,82,75,34,56,96,34,96,17,16,71,7,88,70,23,65
61,83,18,92,41,92,21,63,95,50,32,37,45,19,69,7,44,99,95,89,35
62,61,92,91,45,71,92,27,32,7,68,50,45,58,64,3,77,37,39,93,89
63,65,92,34,16,16,56,7,37,59,82,27,47,81,44,0,17,28,18,33,35
64,44,30,29,40,26,22,79,74,35,93,40,41,31,83,73,59,25,86,24,87
65,34,4,61,31,89,42,39,77,13,98,6,25,7,96,78,71,24,30,27,69
66,3,4,29,71,94,80,89,22,17,90,35,23,76,81,71,97,63,9,29,71
67,14,82,60,56,59,50,27,13,85,78,64,64,26,57,60,17,52,27,54,60
68,9,41,78,14,1,28,68,40,95,4,67,46,46,50,47,44,59,36,3,6
69,80,0,79,78,24,44,46,73,93,3,76,66,18,64,54,85,75,19,34,48
70,48,54,87,88,0,78,19,22,9,24,87,4,31,42,79,74,82,96,8,76
71,96,15,98,99,41,25,79,85,38,97,50,76,18,5,16,40,25,30,86,12
72,95,70,23,64,78,14,13,68,87,1,80,64,22,81,25,70,16,35,8,36
73,0,93,1,36,25,99,60,82,93,5,83,70,77,21,31,63,4,14,22,97
74,61,67,70,5,99,63,70,78,94,99,52,12,13,11,26,18,27,57,80,34
75,75,20,22,68,81,61,86,29,14,39,8,3,48,66,48,14,4,1,42,46
76,7,89,2,6,5,32,49,95,84,73,23,3,23,40,61,40,62,52,14,3
77,8,85,29,23,51,36,22,9,26,94,97,56,99,81,49,73,34,18,72,28
78,34,60,45,35,82,72,32,10,42,31,79,42,59,80,2,97,11,99,48,15
79,91,75,87,8,86,49,11,49,28,90,49,33,86,83,14,43,96,23,84,82
80,15,98,39,67,19,1,60,26,93,31,45,95,70,73,91,22,13,99,87,24
81,52,47,34,4,54,59,59,29,2,51,9,70,35,39,96,69,33,13,26,81
82,1,28,81,82,43,14,71,70,92,17,39,32,48,1,61,8,46,2,35,92
83,42,83,89,93,97,14,2,94,27,45,30,57,34,73,90,24,44,75,28,81
84,72,85,82,7,49,32,32,15,64,96,74,39,32,12,24,64,58,82,22,1
85,46,13,75,96,12,89,29,51,23,50,40,77,17,80,23,22,48,62,82,75
86,79,26,60,99,13,40,53,2,71,8,61,94,55,92,84,10,92,90,29,89
87,21,7,1,40,35,80,88,86,16,30,9,2,41,19,92,84,28,32,88,2
88,79,98,79,11,30,4,38,17,52,21,37,59,68,88,7,48,39,71,7,89
89,36,28,47,16,63,34,55,68,3,9,15,54,23,22,37,7,53,53,44,23
90,33,66,4,79,67,18,13,28,10,41,43,4,72,50,8,95,1,75,69,38
91,69,16,6,21,86,19,30,45,51,79,6,38,98,22,98,6,79,34,71,85
92,13,91,64,65,3,5,36,45,98,70,95,7,54,41,36,40,22,14,63,63
93,47,79,33,94,60,57,69,91,80,32,31,12,13,40,1,72,45,40,18,34
94,66,24,24,27,66,79,80,37,25,38,46,68,3,75,74,63,44,90,38,42
95,4,6,38,38,80,67,88,14,25,14,3,58,63,57,91,7,78,60,43,73
96,69,45,99,71,31,63,2,29,79,15,3,0,28,64,88,19,82,15,99,25
97,19,96,97,60,36,68,3,27,71,76,96,88,8,80,50,3,81,94,64,99
98,78,93,13,40,40,61,49,9,81,37,77,63,32,62,93,55,93,15,54,77
99,75,33,38,86,52,88,83,65,93,33,22,12,80,82,56,94,58,84,7,20
100,33,59,46,1,94,67,70,5,81,47,55,61,35,47,94,43,15,29,31,2
101,37,31,43,68,53,52,15,27,89,68,90,23,84,65,28,79,8,85,78,44
102,36,57,98,95,59,29,96,29,31,63,9,87,63,60,55,50,30,45,94,15
103,52,88,90,9,38,58,50,29,74,56,27,99,79,43,21,10,55,1,37,55
104,66,21,50,52,50,78,84,84,77,21,99,78,30,12,57,12,20,25,57,21
