,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign,9_assign,11_assign,9_assign_assign
43640,87,36,31,43,33,56,1,56,34,97,61,3,81,70,8,53,62,238328,175616,912673,5416169448144896
347540,43,5,30,82,36,93,11,42,95,25,93,12,4,36,72,64,48,75,74088,15625,406671383849472
368518,60,62,80,26,72,16,78,90,41,16,88,57,69,83,90,4,29,94,6,75,216
368519,39,9,56,42,84,90,84,33,74,25,63,38,98,45,12,82,31,66,13,43,2197
368520,87,11,19,60,7,27,81,69,44,94,66,3,95,57,4,98,6,65,73,71,389017
368525,92,84,95,57,91,74,89,19,26,51,30,24,73,50,17,87,47,29,83,20,571787
368526,81,88,98,71,28,64,25,15,57,83,32,5,16,62,10,55,85,11,90,93,729000
368527,25,1,68,52,13,44,60,96,78,83,45,92,16,99,31,15,22,84,69,0,328509
368530,25,27,5,56,67,92,0,29,34,91,48,19,63,22,66,32,55,2,71,29,357911
368532,88,33,0,99,61,1,79,37,75,27,66,49,59,4,11,45,11,29,41,39,68921
368533,42,56,23,64,77,30,49,73,28,91,85,79,23,62,22,0,62,27,9,0,729
368534,34,51,77,68,54,55,70,13,80,78,68,81,55,48,84,84,99,99,13,8,2197
368538,88,16,74,62,46,37,5,4,32,25,5,13,48,16,54,4,19,28,39,18,59319
368539,54,33,92,81,87,60,92,10,17,80,6,71,95,86,64,58,32,14,88,49,681472
368540,1,45,12,32,30,83,92,94,3,78,87,71,80,74,8,95,80,10,3,20,27
368541,27,36,7,5,33,82,3,29,8,8,92,67,71,21,61,67,89,11,39,99,59319
368542,59,26,45,51,52,65,38,24,6,66,93,10,54,13,60,43,83,28,92,82,778688
368543,23,64,18,11,26,93,31,80,27,72,61,56,92,58,33,43,61,13,80,32,512000
368544,4,82,73,8,43,93,47,26,80,48,67,41,42,99,80,6,26,88,65,52,274625
368546,60,76,28,31,21,97,55,62,55,26,11,36,53,78,68,51,0,90,19,86,6859
368548,48,38,32,72,89,66,55,5,83,31,55,84,63,11,54,93,3,34,74,47,405224
368549,71,20,17,23,8,96,41,84,82,43,74,39,79,98,36,54,3,9,76,34,438976
368551,84,2,69,35,78,76,39,78,0,86,22,85,72,67,74,37,86,92,14,79,2744
368552,64,21,46,17,59,82,39,95,53,71,69,95,20,39,18,48,36,59,1,61,1
368554,35,11,9,41,46,92,80,38,29,66,68,17,43,59,63,96,88,82,1,90,1
368555,98,66,29,35,5,18,8,3,54,2,87,62,34,18,60,37,60,71,54,29,157464
368557,47,91,60,38,49,36,12,56,49,0,9,15,20,97,29,97,96,0,11,47,1331
368558,32,66,86,99,48,30,41,20,60,79,89,13,91,60,12,89,34,85,42,47,74088
368559,62,23,21,90,36,77,78,21,69,11,59,51,78,30,21,81,7,70,35,99,42875
368560,16,40,85,83,69,44,12,97,65,99,60,84,19,37,79,33,51,18,30,75,27000
368561,94,81,68,58,72,34,59,13,21,44,46,72,58,68,5,39,5,40,75,33,421875
