,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign,9_assign,11_assign,2_assign
368570,94,85,21,94,85,54,37,60,84,99,22,29,56,36,16,8,99,37,216000,90,9261
368532,88,33,0,99,61,1,79,37,75,27,66,49,59,4,11,45,11,29,50653,39,0
368584,49,49,88,87,21,17,97,63,57,12,41,13,2,60,3,47,79,58,250047,95,681472
368524,29,15,58,46,77,85,55,47,54,27,45,0,43,60,3,79,33,42,103823,40,195112
368590,28,47,66,53,9,67,91,24,30,14,77,32,43,8,3,13,27,41,13824,1,287496
368604,42,78,30,68,23,13,96,64,84,4,6,0,16,36,1,9,50,71,262144,79,27000
368531,67,41,55,82,60,48,92,32,39,22,30,73,4,52,88,5,86,66,32768,55,166375
368601,41,17,99,5,11,34,44,25,59,37,39,45,43,92,41,50,56,71,15625,69,970299
368521,82,18,65,44,24,9,55,60,60,41,45,8,42,44,41,15,38,28,216000,9,274625
368595,1,81,16,59,26,83,97,82,43,65,46,16,81,48,25,63,16,64,551368,87,4096
368542,59,26,45,51,52,65,38,24,6,66,93,10,54,13,60,43,83,28,13824,82,91125
368609,35,92,93,3,6,15,71,0,56,22,97,83,4,87,38,80,44,23,0,31,804357
368553,24,81,91,94,60,86,61,45,63,78,68,0,24,96,4,48,17,68,91125,9,753571
368541,27,36,7,5,33,82,3,29,8,8,92,67,71,21,61,67,89,11,24389,99,343
368563,69,0,4,83,24,38,40,6,90,63,46,32,61,38,10,28,72,54,216,47,64
368591,29,78,77,31,7,59,29,58,21,31,94,42,4,30,56,3,81,73,195112,29,456533
368555,98,66,29,35,5,18,8,3,54,2,87,62,34,18,60,37,60,71,27,29,24389
368568,75,28,39,94,95,69,86,0,82,51,24,24,54,89,75,53,25,86,0,4,59319
368610,97,33,45,37,27,67,58,51,22,83,47,0,77,21,69,76,96,8,132651,65,91125
368605,77,34,7,11,86,18,15,4,40,91,71,86,85,33,85,19,7,65,64,49,343
368589,90,3,57,11,90,14,90,54,42,84,11,55,94,50,42,1,88,25,157464,72,185193
368517,37,20,30,47,39,5,79,65,33,21,60,70,63,2,27,74,79,44,274625,84,27000
368578,59,65,73,36,51,83,60,13,88,84,52,44,73,61,11,82,22,85,2197,84,389017
368580,26,36,74,86,52,8,45,43,46,83,83,87,0,92,78,28,6,13,79507,95,405224
368576,60,58,99,29,72,11,8,13,52,68,84,98,14,5,9,59,11,8,2197,47,970299
368588,73,68,3,69,56,37,7,41,86,95,21,77,0,69,83,95,98,16,68921,23,27
368567,17,98,42,51,19,68,72,1,10,23,98,63,93,73,20,71,77,45,1,88,74088
368522,61,59,54,0,72,37,73,90,92,96,52,55,24,14,23,84,69,14,729000,78,157464
368603,12,6,73,72,19,14,80,96,17,65,89,26,68,68,75,27,15,20,884736,47,389017
368594,35,16,42,33,98,0,43,29,19,75,55,47,93,59,58,57,3,53,24389,41,74088
368536,51,89,48,86,34,15,55,93,13,93,28,79,28,30,41,13,32,80,804357,13,110592
368548,48,38,32,72,89,66,55,5,83,31,55,84,63,11,54,93,3,34,125,47,32768
368608,44,19,39,92,37,10,80,87,83,21,50,68,43,4,2,92,69,87,658503,11,59319
368577,99,9,96,14,6,8,98,26,33,13,77,48,48,48,38,32,34,17,17576,69,884736
368523,49,53,85,24,18,56,17,16,70,63,72,2,97,62,45,98,11,99,4096,3,614125
368526,81,88,98,71,28,64,25,15,57,83,32,5,16,62,10,55,85,11,3375,93,941192
368546,60,76,28,31,21,97,55,62,55,26,11,36,53,78,68,51,0,90,238328,86,21952
368607,63,11,68,80,51,14,88,46,28,48,27,61,1,46,39,34,13,77,97336,97,314432
368518,60,62,80,26,72,16,78,90,41,16,88,57,69,83,90,4,29,94,729000,75,512000
368566,73,66,54,48,53,8,16,15,49,53,58,50,78,11,8,99,47,0,3375,2,157464
368611,73,72,99,35,24,88,47,69,43,75,99,12,76,12,55,20,12,55,328509,21,970299
368527,25,1,68,52,13,44,60,96,78,83,45,92,16,99,31,15,22,84,884736,0,314432
368583,29,73,97,69,39,90,20,53,77,43,13,95,36,75,18,14,27,11,148877,69,912673
368581,36,61,38,38,4,82,67,4,52,58,29,8,66,12,20,64,14,89,64,94,54872
368528,12,11,63,56,44,39,62,87,65,67,96,4,21,88,34,54,60,13,658503,6,250047
368569,37,55,20,33,70,78,17,62,40,89,69,17,41,45,57,17,16,69,238328,35,8000
