,0,1,2,4,6,7,8,9,10,11,14,15,16,17,19,19_assign,9_assign,17_assign
368617,58,29,43,63,85,9,67,2,48,42,41,21,43,40,49,14,28,64000
368774,19,40,43,26,22,22,8,6,67,51,18,76,6,29,57,22,27,15
368775,44,57,62,13,70,40,53,68,26,55,20,50,71,36,20,59,50,9
368767,55,41,55,77,13,42,10,49,3,76,12,17,17,51,10,31,90,132651
368770,20,69,95,86,82,42,97,61,47,79,20,21,38,47,78,22,85,74
368772,65,5,87,94,76,51,15,59,88,86,45,68,60,53,5,53,61,52
368610,97,33,45,37,27,67,58,51,22,83,0,77,21,69,96,8,88,328509
368771,28,30,94,98,67,71,56,62,90,13,68,63,27,23,57,81,90,42
368550,39,45,0,91,62,75,3,70,50,59,54,90,2,50,19,69,93,125000
368616,10,16,70,83,59,76,24,2,24,64,33,28,20,20,19,38,22,8000
368769,39,80,8,28,18,76,18,36,20,88,65,73,25,24,43,11,61,59
368765,39,79,24,17,30,82,96,74,73,13,51,47,27,40,8,49,53,64000
368766,95,53,30,11,8,83,22,92,43,55,74,42,40,62,85,21,66,238328
