name,0.csv,1.csv,10.csv,11.csv,12.csv,13.csv,14.csv,15.csv,16.csv,17.csv,18.csv,19.csv,2.csv,20.csv,21.csv,22.csv,23.csv,24.csv,25.csv,26.csv,27.csv,28.csv,29.csv,3.csv,30.csv,31.csv,32.csv,33.csv,34.csv,35.csv,36.csv,37.csv,38.csv,39.csv,4.csv,40.csv,41.csv,42.csv,43.csv,44.csv,45.csv,46.csv,47.csv,48.csv,49.csv,5.csv,50.csv,51.csv,52.csv,53.csv,54.csv,55.csv,56.csv,57.csv,58.csv,59.csv,6.csv,60.csv,61.csv,62.csv,63.csv,64.csv,65.csv,66.csv,67.csv,68.csv,69.csv,7.csv,70.csv,71.csv,72.csv,73.csv,74.csv,75.csv,76.csv,77.csv,78.csv,79.csv,8.csv,9.csv
0.csv,1,0.956249,0.905924,0.905662,0.825714,0.732381,0.835238,0.830476,0.824286,0.769524,0.077619,0.052381,0.951161,0.0685714,0.00904762,0.139524,0.158095,0.144348,0.22,0.134783,0.283043,0.00826087,0.404348,0.95444,0.295833,0.0165217,0.0165217,0.0404348,0.307826,0.09625,0.240435,0.0165217,0.0163636,0.0231818,0.936925,0.0275,0.0475,0.09875,0.274167,0.268333,0.186,0.354583,0.243333,0.36,0.3375,0.900245,0.302917,0.3368,0.308333,0.3612,0.5088,0.417083,0.40625,0.296522,0.271739,0.0573913,0.943765,0.036087,0.0508696,0.063913,0.110417,0.0866667,0.0754167,0.0765217,0.0345833,0.00708333,0.0283333,0.9537,0.0354167,0.109565,0.197826,0.0643478,0.073913,0.00695652,0.0272,0.0196154,0.00653846,0.00653846,0.90607,0.88825
1.csv,0.956249,1,0.909913,0.909215,0.825714,0.732381,0.835238,0.830476,0.824286,0.769524,0.077619,0.052381,0.97082,0.0685714,0.00904762,0.139524,0.158095,0.144348,0.22,0.134783,0.283043,0.00826087,0.404348,0.969943,0.295833,0.0165217,0.0165217,0.0404348,0.307826,0.09625,0.240435,0.0165217,0.0163636,0.0231818,0.952593,0.0275,0.0475,0.09875,0.274167,0.268333,0.186,0.354583,0.243333,0.36,0.3375,0.91472,0.302917,0.3368,0.308333,0.3612,0.5088,0.417083,0.40625,0.296522,0.271739,0.0573913,0.95653,0.036087,0.0508696,0.063913,0.110417,0.0866667,0.0754167,0.0765217,0.0345833,0.00708333,0.0283333,0.962147,0.0354167,0.109565,0.197826,0.0643478,0.073913,0.00695652,0.0272,0.0196154,0.00653846,0.00653846,0.913996,0.901737
10.csv,0.905924,0.909913,1,0.990032,0.871498,0.772592,0.880367,0.876292,0.86961,0.81006,0.0816827,0.0551015,0.909491,0.0720811,0.0095203,0.146581,0.166081,0.150982,0.230073,0.140946,0.295982,0.00863636,0.422799,0.912097,0.308765,0.0172727,0.0172727,0.0422727,0.321891,0.100435,0.251437,0.0172727,0.0171429,0.0242857,0.893845,0.0286957,0.0495652,0.103043,0.286087,0.28,0.19375,0.37,0.253913,0.375652,0.352174,0.856992,0.316087,0.350833,0.321739,0.37625,0.53,0.435217,0.423913,0.31,0.284091,0.06,0.904757,0.0377273,0.0531818,0.0668182,0.115217,0.0904348,0.0786957,0.08,0.036087,0.0073913,0.0295652,0.924424,0.0369565,0.114545,0.206818,0.0672727,0.0772727,0.00727273,0.0283333,0.0204,0.0068,0.0068,0.972533,0.846707
11.csv,0.905662,0.909215,0.990032,1,0.871351,0.772483,0.880221,0.876111,0.869434,0.809996,0.0816519,0.0550506,0.908538,0.0720253,0.0095,0.146525,0.166025,0.150932,0.230023,0.140932,0.295932,0.00863636,0.42275,0.911136,0.308717,0.0172727,0.0172727,0.0422727,0.321841,0.100435,0.251386,0.0172727,0.0171429,0.0242857,0.893187,0.0286957,0.0495652,0.103043,0.286087,0.28,0.19375,0.37,0.253913,0.375652,0.352174,0.856325,0.316087,0.350833,0.321739,0.37625,0.53,0.435217,0.423913,0.31,0.284091,0.06,0.90369,0.0377273,0.0531818,0.0668182,0.115217,0.0904348,0.0786957,0.08,0.036087,0.0073913,0.0295652,0.922106,0.0369565,0.114545,0.206818,0.0672727,0.0772727,0.00727273,0.0283333,0.0204,0.0068,0.0068,0.969665,0.846163
12.csv,0.825714,0.825714,0.871498,0.871351,1,0.883989,0.850152,0.882735,0.952529,0.801667,0.0912055,0.0613298,0.822381,0.0762512,0.0106273,0.150038,0.173238,0.15749,0.232071,0.144378,0.290589,0.00898221,0.40737,0.825714,0.301458,0.0174376,0.0174266,0.0436767,0.314607,0.0972379,0.248586,0.0163593,0.0161142,0.0234677,0.810233,0.0291135,0.0499497,0.10354,0.279577,0.273062,0.18858,0.356395,0.247824,0.364357,0.34359,0.775238,0.313364,0.340223,0.312129,0.364374,0.496765,0.410559,0.399696,0.298145,0.274387,0.0596947,0.815714,0.0378892,0.0536991,0.0675546,0.114004,0.088151,0.0763062,0.0824358,0.03721,0.00812914,0.0300372,0.825714,0.0386275,0.115641,0.201579,0.0657533,0.0758371,0.00646017,0.0297317,0.0210782,0.00747881,0.00747881,0.867,0.767495
13.csv,0.732381,0.732381,0.772592,0.772483,0.883989,1,0.85926,0.777265,0.842002,0.722775,0.0931053,0.0622545,0.730394,0.0762841,0.010805,0.142871,0.169793,0.154357,0.220119,0.138637,0.267503,0.00852362,0.370898,0.732381,0.277151,0.0169959,0.0170209,0.0434903,0.29434,0.0898269,0.233811,0.0153506,0.0149869,0.0216623,0.719472,0.0274139,0.0475375,0.0948823,0.255903,0.251089,0.174893,0.325673,0.226246,0.332223,0.314503,0.68557,0.287291,0.31027,0.285596,0.333346,0.444303,0.369005,0.3568,0.270378,0.251659,0.0573126,0.726397,0.036214,0.0509162,0.0622748,0.106748,0.0826091,0.0719647,0.0764891,0.0346027,0.00764974,0.0280105,0.732381,0.0365984,0.106698,0.185607,0.061035,0.0696805,0.00585589,0.0277896,0.0201982,0.00753776,0.00753776,0.769,0.681645
14.csv,0.835238,0.835238,0.880367,0.880221,0.850152,0.85926,1,0.831121,0.837085,0.763963,0.08083,0.0541044,0.832381,0.0698601,0.00938049,0.138616,0.159995,0.14545,0.215956,0.132836,0.278376,0.00840075,0.393169,0.835238,0.290043,0.0168015,0.0168015,0.041076,0.302157,0.0947537,0.236528,0.0158384,0.0155901,0.0224362,0.818095,0.0272262,0.0473245,0.0971587,0.265887,0.260147,0.180441,0.339902,0.236207,0.348611,0.328272,0.782857,0.296251,0.325856,0.299136,0.3493,0.486447,0.403333,0.392332,0.285962,0.264201,0.0564908,0.825714,0.0354831,0.0499346,0.0619659,0.108785,0.0852779,0.0737525,0.0750789,0.0344318,0.00715706,0.0281711,0.835238,0.0353237,0.107643,0.194876,0.0618989,0.0701541,0.00653022,0.0269973,0.0193371,0.0065845,0.0065845,0.877,0.775
15.csv,0.830476,0.830476,0.876292,0.876111,0.882735,0.777265,0.831121,1,0.866636,0.770001,0.0812442,0.0548776,0.829524,0.0701544,0.00943129,0.140535,0.160649,0.146045,0.219014,0.135297,0.279276,0.00798311,0.397976,0.830476,0.291432,0.0164254,0.0168939,0.0412736,0.305235,0.0943168,0.237805,0.0164155,0.0162254,0.022654,0.815238,0.0278358,0.0480127,0.0990936,0.271278,0.265993,0.18279,0.348125,0.241167,0.354797,0.331855,0.779524,0.299367,0.331749,0.303556,0.354928,0.490698,0.405436,0.394082,0.290279,0.267253,0.0566378,0.824286,0.0356058,0.0501082,0.063134,0.109018,0.084359,0.072675,0.0757744,0.0345246,0.00717855,0.0282473,0.830476,0.0354212,0.107319,0.193052,0.0620751,0.0702603,0.00655289,0.0270703,0.0193875,0.00660427,0.00660427,0.872,0.772727
16.csv,0.824286,0.824286,0.86961,0.869434,0.952529,0.842002,0.837085,0.866636,1,0.811152,0.091255,0.0613847,0.820952,0.0769047,0.0106315,0.15089,0.174703,0.15882,0.23105,0.143418,0.295525,0.00898838,0.412347,0.824286,0.304982,0.0169672,0.0164566,0.0422423,0.317861,0.0965073,0.25154,0.0169336,0.0166817,0.0245108,0.808795,0.0306184,0.0505348,0.104788,0.28023,0.274319,0.190213,0.358376,0.247164,0.365021,0.344271,0.774286,0.312002,0.341476,0.309553,0.364983,0.497733,0.41074,0.39902,0.298157,0.274371,0.0575768,0.816075,0.036349,0.0527329,0.0654833,0.11425,0.0889344,0.0760408,0.0814775,0.036746,0.00814013,0.0295776,0.824286,0.0372039,0.11526,0.204427,0.0648887,0.0761853,0.00650633,0.0283606,0.0202056,0.00705413,0.00705413,0.8655,0.766122
17.csv,0.769524,0.769524,0.81006,0.809996,0.801667,0.722775,0.763963,0.770001,0.811152,1,0.0951806,0.0627145,0.76619,0.077957,0.0114411,0.145441,0.171856,0.156233,0.231857,0.143982,0.28214,0.00751795,0.389209,0.769524,0.289897,0.0166041,0.0181699,0.0430448,0.304771,0.102007,0.241663,0.0186741,0.018456,0.0268401,0.75406,0.0291289,0.049245,0.102514,0.271993,0.26327,0.186015,0.344054,0.239597,0.346051,0.323416,0.724214,0.293998,0.322418,0.293502,0.345777,0.472627,0.386678,0.377753,0.290562,0.262973,0.0576999,0.761236,0.0373072,0.0536677,0.0667799,0.118308,0.0925787,0.0787836,0.0832401,0.0383001,0.00873133,0.0306239,0.769524,0.0371625,0.116855,0.20293,0.0660733,0.0786027,0.00694367,0.0288699,0.0211777,0.00613809,0.00613809,0.808,0.715505
