name,0.csv,1.csv,10.csv,11.csv,12.csv,13.csv,14.csv,15.csv,16.csv,17.csv,18.csv,19.csv,2.csv,20.csv,21.csv,22.csv,23.csv,24.csv,25.csv,26.csv,27.csv,28.csv,29.csv,3.csv,30.csv,31.csv,32.csv,33.csv,34.csv,35.csv,36.csv,37.csv,38.csv,39.csv,4.csv,40.csv,41.csv,42.csv,43.csv,44.csv,45.csv,46.csv,47.csv,48.csv,49.csv,5.csv,50.csv,51.csv,52.csv,53.csv,54.csv,55.csv,56.csv,57.csv,58.csv,59.csv,6.csv,60.csv,61.csv,62.csv,63.csv,64.csv,65.csv,66.csv,67.csv,68.csv,69.csv,7.csv,70.csv,71.csv,72.csv,73.csv,74.csv,75.csv,76.csv,77.csv,78.csv,79.csv,8.csv,9.csv
0.csv,1,0.952381,0.908214,0.837734,0.90676,0.859087,0.858287,0.836361,0.832455,0.829972,0.763361,0.826517,0.888248,0.77801,0.718476,0.73126,0.729972,0.716468,0.776814,0.776211,0.7747,0.741113,0.733921,0.931474,0.773934,0.683025,0.613909,0.740584,0.70972,0.640992,0.682607,0.640992,0.709252,0.561757,0.918914,0.0275,0.0475,0.09875,0.274167,0.268333,0.186,0.354583,0.243333,0.36,0.3375,0.927011,0.302917,0.3368,0.308333,0.3612,0.5088,0.417083,0.40625,0.296522,0.271739,0.0573913,0.925245,0.036087,0.0508696,0.063913,0.110417,0.0866667,0.0754167,0.0765217,0.0345833,0.00708333,0.0283333,0.912101,0.0354167,0.109565,0.197826,0.0643478,0.073913,0.00695652,0.0272,0.0196154,0.00653846,0.00653846,0.925245,0.90921
1.csv,0.952381,1,0.953625,0.877626,0.952098,0.902041,0.901202,0.876188,0.872096,0.869494,0.799711,0.865875,0.93266,0.815058,0.752689,0.766082,0.764733,0.750586,0.813805,0.813174,0.81159,0.7748,0.767281,0.978047,0.810788,0.71555,0.640601,0.774247,0.740578,0.668861,0.715112,0.668861,0.740089,0.586181,0.96486,0.0286957,0.0495652,0.103043,0.286087,0.28,0.19375,0.37,0.253913,0.375652,0.352174,0.973361,0.316087,0.350833,0.321739,0.37625,0.53,0.435217,0.423913,0.31,0.284091,0.06,0.971507,0.0377273,0.0531818,0.0668182,0.115217,0.0904348,0.0786957,0.08,0.036087,0.0073913,0.0295652,0.957706,0.0369565,0.114545,0.206818,0.0672727,0.0772727,0.00727273,0.0283333,0.0204,0.0068,0.0068,0.971507,0.95467
10.csv,0.908214,0.953625,1,0.864893,0.97863,0.923841,0.912838,0.864767,0.861763,0.861256,0.792955,0.860949,0.902395,0.811183,0.749312,0.762958,0.762888,0.748662,0.811102,0.810673,0.81,0.773232,0.765881,0.953367,0.8098,0.714562,0.640464,0.773126,0.739511,0.668725,0.714544,0.668725,0.739484,0.586103,0.952943,0.0286961,0.0495657,0.103044,0.286087,0.28,0.19375,0.37,0.253913,0.375653,0.352174,0.957543,0.316087,0.350834,0.321739,0.37625,0.53,0.435217,0.423913,0.31,0.284091,0.06,0.958138,0.0377273,0.0531818,0.0668182,0.115217,0.0904348,0.0786957,0.08,0.036087,0.0073913,0.0295652,0.970434,0.0369565,0.114545,0.206818,0.0672727,0.0772727,0.00727273,0.0283333,0.0204,0.0068,0.0068,0.958138,0.980627
11.csv,0.837734,0.877626,0.864893,1,0.861692,0.81383,0.812063,0.972131,0.953988,0.948941,0.870053,0.943298,0.822903,0.884272,0.817764,0.831489,0.83023,0.814336,0.882902,0.881352,0.878306,0.836693,0.82868,0.872467,0.877201,0.777201,0.684781,0.836015,0.79801,0.713914,0.77687,0.713914,0.797571,0.622654,0.867297,0.0304433,0.052249,0.108128,0.30011,0.293762,0.203219,0.388083,0.266156,0.394297,0.369784,0.900983,0.331782,0.367598,0.337653,0.394089,0.554598,0.456173,0.444355,0.325462,0.29833,0.0633022,0.904762,0.0399817,0.0561635,0.0704409,0.12085,0.0949513,0.0826822,0.0846833,0.0381643,0.00818182,0.0327273,0.874205,0.0399733,0.12085,0.217417,0.0709171,0.0813853,0.00761905,0.0304177,0.0220751,0.00708333,0.00708333,0.904762,0.867483
12.csv,0.90676,0.952098,0.97863,0.861692,1,0.937216,0.91906,0.861649,0.85984,0.859564,0.791919,0.859455,0.901381,0.810503,0.748807,0.762519,0.762495,0.748423,0.810474,0.810206,0.809801,0.773021,0.765702,0.952009,0.809684,0.714446,0.640452,0.772961,0.739354,0.668713,0.71444,0.668713,0.739344,0.586096,0.95185,0.0286959,0.0495655,0.103044,0.286087,0.28,0.19375,0.37,0.253913,0.375652,0.352174,0.954419,0.316087,0.350834,0.321739,0.37625,0.53,0.435217,0.423913,0.31,0.284091,0.06,0.954777,0.0377273,0.0531818,0.0668182,0.115217,0.0904348,0.0786957,0.08,0.036087,0.0073913,0.0295652,0.962487,0.0369565,0.114545,0.206818,0.0672727,0.0772727,0.00727273,0.0283333,0.0204,0.0068,0.0068,0.954777,0.969386
13.csv,0.859087,0.902041,0.923841,0.81383,0.937216,1,0.972162,0.813777,0.812111,0.811846,0.744275,0.811711,0.851344,0.762868,0.701181,0.714892,0.714861,0.7008,0.76283,0.762576,0.762191,0.72757,0.72025,0.901929,0.762068,0.666829,0.600887,0.727513,0.695882,0.628278,0.666821,0.628278,0.695868,0.550879,0.901735,0.0269569,0.0469569,0.0973916,0.269131,0.262174,0.183334,0.347826,0.238696,0.354348,0.332609,0.904192,0.297826,0.33125,0.302609,0.355417,0.500834,0.411304,0.399565,0.297273,0.269545,0.0563636,0.904521,0.0354545,0.05,0.0627273,0.108696,0.0852174,0.073913,0.0754545,0.033913,0.00695652,0.0278261,0.911167,0.0347826,0.107727,0.193636,0.0631818,0.0809524,0.00761905,0.0266667,0.0192,0.0064,0.0064,0.904521,0.916356
14.csv,0.858287,0.901202,0.912838,0.812063,0.91906,0.972162,1,0.812035,0.811057,0.8109,0.743708,0.81083,0.850781,0.762481,0.700891,0.714648,0.714631,0.700666,0.762461,0.76231,0.762077,0.727458,0.720156,0.901143,0.762001,0.666763,0.600881,0.727423,0.695796,0.628273,0.666759,0.628273,0.695789,0.550876,0.901042,0.0269565,0.0469565,0.0973913,0.26913,0.262174,0.183333,0.347826,0.238696,0.354348,0.332609,0.902469,0.297826,0.33125,0.302609,0.355417,0.500833,0.411304,0.399565,0.297273,0.269545,0.0563636,0.902666,0.0354545,0.05,0.0627273,0.108696,0.0852174,0.073913,0.0754545,0.033913,0.00695652,0.0278261,0.906432,0.0347826,0.107727,0.193636,0.0631818,0.0809524,0.00761905,0.0266667,0.0192,0.0064,0.0064,0.902666,0.909272
15.csv,0.836361,0.876188,0.864767,0.972131,0.861649,0.813777,0.812035,1,0.9795,0.97424,0.89475,0.968506,0.821964,0.908824,0.842199,0.855909,0.854691,0.8387,0.907477,0.905806,0.902685,0.859905,0.851881,0.871648,0.901569,0.801569,0.701639,0.859231,0.82017,0.73235,0.801252,0.73235,0.819747,0.637989,0.866931,0.0309342,0.0534517,0.111226,0.307717,0.300888,0.208419,0.398009,0.272916,0.404384,0.379139,0.897906,0.340012,0.377014,0.346853,0.404205,0.569545,0.468753,0.456935,0.334042,0.30641,0.0648107,0.901419,0.0407448,0.0574237,0.0721978,0.124184,0.0975758,0.0850699,0.0864957,0.0388928,0.00796037,0.0318415,0.873755,0.0398019,0.123419,0.223748,0.072674,0.0836386,0.00786325,0.0304571,0.021891,0.00729701,0.00729701,0.901419,0.867317
16.csv,0.832455,0.872096,0.861763,0.953988,0.85984,0.812111,0.811057,0.9795,1,0.988556,0.904043,0.975828,0.819943,0.913253,0.845862,0.859228,0.856567,0.840691,0.910431,0.908438,0.904209,0.861467,0.853255,0.867706,0.902487,0.802487,0.701748,0.860306,0.82119,0.732459,0.801774,0.732459,0.820317,0.638049,0.863773,0.0309355,0.053453,0.111227,0.307719,0.300889,0.20842,0.39801,0.272917,0.404385,0.379141,0.88264,0.340012,0.377015,0.346853,0.404206,0.569546,0.468753,0.456935,0.334042,0.30641,0.0648107,0.88414,0.0407448,0.0574237,0.0721978,0.124184,0.0975758,0.0850699,0.0864957,0.0388928,0.00796037,0.0318415,0.86708,0.0398019,0.123419,0.223748,0.072674,0.0836386,0.00786325,0.0304571,0.021891,0.00729701,0.00729701,0.88414,0.863202
17.csv,0.829972,0.869494,0.861256,0.948941,0.859564,0.811846,0.8109,0.97424,0.988556,1,0.909213,0.982575,0.81817,0.91572,0.847486,0.860717,0.857693,0.84132,0.912395,0.909886,0.904796,0.862083,0.853804,0.866098,0.902801,0.802801,0.701767,0.86077,0.821632,0.732478,0.802032,0.732478,0.820665,0.63806,0.862899,0.0309381,0.0534556,0.111229,0.307721,0.300891,0.20842,0.398013,0.272919,0.404388,0.379143,0.878124,0.340014,0.377018,0.346856,0.404208,0.569548,0.468756,0.456938,0.334042,0.30641,0.0648107,0.879333,0.0407448,0.0574237,0.0721978,0.124184,0.0975758,0.0850699,0.0864957,0.0388928,0.00796037,0.0318415,0.865826,0.0398019,0.123419,0.223748,0.072674,0.0836386,0.00786325,0.0304571,0.021891,0.00729701,0.00729701,0.879333,0.862514
